10:52:23.733 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60279 | Dst: 5000  | Bytes: 262   | MAX: 262   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:29.073 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60280 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:34.201 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60281 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:39.509 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60282 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:44.816 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60283 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:50.159 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60284 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:52:55.455 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60285 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:00.584 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60286 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:05.913 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60287 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:11.233 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60288 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:16.548 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60289 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:21.675 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60290 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:26.805 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60291 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:32.151 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60292 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:37.277 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60293 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:42.570 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60294 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:47.878 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60295 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:53.010 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60296 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:53:58.173 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60297 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:03.478 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60298 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:08.595 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60299 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:13.733 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60300 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:19.031 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60301 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:24.340 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60302 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:29.460 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60303 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:34.613 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60304 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:40.066 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60305 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:45.267 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60306 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:50.377 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60307 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:54:55.697 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60308 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:00.800 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60309 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:05.923 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60310 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:11.248 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60311 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:16.565 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60312 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:21.701 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60313 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:27.073 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60314 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:32.207 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60315 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:37.323 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60316 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:42.599 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60317 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:47.731 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60318 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:53.025 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60319 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:55:58.159 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60320 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:03.478 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60321 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:08.800 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60322 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:14.147 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60323 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:19.452 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60324 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:24.765 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60325 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:30.148 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60326 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:35.330 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60327 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:40.593 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60328 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:45.967 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60329 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:51.194 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60330 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:56:56.544 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60331 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:57:01.767 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60332 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
10:57:06.984 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 60333 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
11:16:35.736 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64141 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
11:16:35.736 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64141 | Dst: 8080  | Bytes: 115   | MAX: 115   | Pld: {"device":"TEMP_SENSOR","ip":"192.168.1.11","temperature":31}
11:16:35.736 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64141 | Bytes: 58    | MAX: 115   | Pld: ACK
11:16:35.736 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64141 | Bytes: 54    | MAX: 115   | Pld: Sin payload
11:16:35.841 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64141 | Dst: 8080  | Bytes: 56    | MAX: 115   | Pld: 
11:16:35.841 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64141 | Dst: 8080  | Bytes: 54    | MAX: 115   | Pld: Sin payload
11:16:35.841 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64141 | Dst: 8080  | Bytes: 54    | MAX: 115   | Pld: Sin payload
11:16:35.841 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64141 | Bytes: 54    | MAX: 115   | Pld: Sin payload
11:16:38.600 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 59846 | Dst: 5000  | Bytes: 262   | MAX: 262   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
11:16:40.952 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:40.953 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64142 | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:41.270 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:41.270 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 115   | MAX: 345   | Pld: {"device":"TEMP_SENSOR","ip":"192.168.1.11","temperature":26}
11:16:41.270 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64142 | Bytes: 58    | MAX: 345   | Pld: ACK
11:16:41.271 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64142 | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:41.465 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 56    | MAX: 345   | Pld: 
11:16:41.465 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:41.465 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64142 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:41.466 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64142 | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:43.842 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 59847 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
11:16:46.488 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:46.488 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64143 | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:46.789 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:46.789 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 115   | MAX: 345   | Pld: {"device":"TEMP_SENSOR","ip":"192.168.1.11","temperature":29}
11:16:46.789 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64143 | Bytes: 58    | MAX: 345   | Pld: ACK
11:16:46.789 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64143 | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:46.924 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 56    | MAX: 345   | Pld: 
11:16:46.924 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:46.924 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64143 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:46.924 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64143 | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:49.653 | HTTP  | Org: 10.129.176.13   | Dst: 10.129.176.217  | Org: 59848 | Dst: 5000  | Bytes: 262   | MAX: 345   | Pld: POST /motion HTTP/1.1 Host: 10.129.176.217:5000 User-Agent: ESP32HTTPClient Connection: keep-alive A
11:16:52.016 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64144 | Dst: 8080  | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:52.016 | TCP   | Org: 10.129.176.217  | Dst: 10.129.176.11   | Org: 8080  | Dst: 64144 | Bytes: 62    | MAX: 345   | Pld: Sin payload
11:16:52.318 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64144 | Dst: 8080  | Bytes: 54    | MAX: 345   | Pld: Sin payload
11:16:52.318 | TCP   | Org: 10.129.176.11   | Dst: 10.129.176.217  | Org: 64144 | Dst: 8080  | Bytes: 115   | MAX: 345   | Pld: {"device":"TEMP_SENSOR","ip":"192.168.1.11","temperature":22}
