13:39:19.087 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60080 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:19.229 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60080 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:20.088 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60081 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:20.163 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60081 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:21.088 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60082 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:21.181 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60082 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:22.088 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60083 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:22.225 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60083 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:23.088 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60084 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:23.101 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60084 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:24.088 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60085 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:24.115 | TCP   | Org: 192.168.1.2     | Dst: 192.168.1.6     | Org: 8080  | Dst: 60085 | Bytes: 54    | MAX: 54    | Pld: Sin payload
13:39:25.089 | TCP   | Org: 192.168.1.6     | Dst: 192.168.1.2     | Org: 60086 | Dst: 8080  | Bytes: 54    | MAX: 54    | Pld: Sin payload
